STT,Học phí năm học 2024 - 2025 (Dự kiến),Ngành đào tạo
1,"40,000,000",Công nghệ thông tin
2,"40,000,000",Kỹ thuật máy tính
3,"40,000,000",Công nghệ kỹ thuật cơ điện tử
4,"40,000,000",Khoa học máy tính
5,"40,000,000",Công nghệ kỹ thuật điện tử – viễn thông
6,"40,000,000",Hệ thống thông tin
7,"32,000,000",Kỹ thuật điều khiển và tự động hóa
8,"32,000,000",Trí tuệ nhân tạo
9,"32,000,000",Thiết kế công nghiệp và đồ họa
10,"32,000,000",Công nghệ nông nghiệp
11,"40,000,000",Vật lý kỹ thuật
12,"40,000,000",Cơ kỹ thuật
13,"40,000,000",Công nghệ kỹ thuật xây dựng
14,"40,000,000",Công nghệ hàng không vũ trụ
15,"40,000,000",Kỹ thuật năng lượng
16,"40,000,000",Mạng máy tính và truyền thông dữ liệu
17,"40,000,000",Kỹ thuật Robot
